source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val,radius_val
4096837641510025216,277.66592290735633,1.1677503594394005,-16.852917670968154,1.2865548659504102,210.78096440702356,1.2991350834797928,19.722166,1.3685589,,,NOT_AVAILABLE,,,,
4313433804304600448,285.3414004757268,1.1161523221293357,11.568982877357028,1.2361215526783849,211.03441822924378,1.8505897457437475,20.608995,1.3202438,,,NOT_AVAILABLE,,,,
4062921418600070016,271.3267823311219,0.7647935410463944,-27.774764187423244,0.8838036581735994,211.20233677072443,1.4025466706040441,18.988796,,,,NOT_AVAILABLE,,,,
4064518665418952448,272.7268710547807,1.391534851570849,-26.984102125659366,0.9206430908023765,211.26585762521685,0.9971830548787067,19.7728,,,,NOT_AVAILABLE,,,,
4258383387346881920,281.40442604868815,2.2599028338933653,-3.6702719601889586,2.2717528062417642,211.44790850540656,2.758211965508288,20.457952,,,,NOT_AVAILABLE,,,,
5934648581128691840,244.54265991278461,1.6137310389548687,-52.19978131137066,1.7901713175879286,211.61335120194175,2.664393756008859,19.874224,,,,NOT_AVAILABLE,,,,
4259305671448783104,279.65424334332795,1.4665604953867124,-3.1565858301172973,2.072193930683164,211.98300115661806,2.1088461679415365,20.748352,,,,NOT_AVAILABLE,,,,
4045720654407941120,273.3390066578229,0.8183312180433612,-32.86953155420224,0.6923667620378172,212.1499795687965,1.0980033436130687,19.95342,,,,NOT_AVAILABLE,,,,
4077165518740789504,276.31816039344875,1.2707758726025933,-25.217605948938452,1.0017491782932837,212.50166859874165,1.720760648774275,20.022718,1.1546345,,,NOT_AVAILABLE,,,,
4040832504939549440,268.834700647493,1.121055900007058,-34.551869081731944,1.5907388330410077,212.89033714277377,2.0925777313682286,19.715076,,,,NOT_AVAILABLE,,,,
4093136925858891648,277.3601132844843,1.7570419634889793,-18.639475343881976,1.6040389988389916,212.9215396220671,2.0516375560628224,20.36575,,,,NOT_AVAILABLE,,,,
5338201078248247552,163.36539239368537,0.7852352223326027,-60.68624955126223,1.4701362687936843,212.944887199561,1.8894929203063895,18.280592,,,,NOT_AVAILABLE,,,,
2079073928612819840,298.4796704063084,0.5405951197290337,44.41239192892343,0.5159134971829457,213.13289347323374,0.5737238239450664,11.4663,3.711712,,,NOT_AVAILABLE,3604.525,0.282,,
4063273399737300992,271.69123996871383,1.5894941355573435,-26.74938738477281,1.4702500312541424,213.16712155788437,2.2811661038951017,19.41329,,,,NOT_AVAILABLE,,,,
2062192370677446144,303.7223854576685,0.865665005866232,39.526986372268745,2.5164837898472463,213.30223194567074,2.21013315608776,20.06802,1.8946095,,,NOT_AVAILABLE,,,,
4104562604043637120,277.80533442695736,1.6115211769779911,-13.805074446269622,3.223510420316029,213.62262696243744,4.147161438059457,20.663134,,,,NOT_AVAILABLE,,,,
4317802129612628608,297.02251425707857,0.9354745247609783,15.362550024295576,1.1382031030075908,213.83684277392473,3.100816142319521,19.82589,,,,NOT_AVAILABLE,,,,
2603090003484152064,343.32397371221697,0.06716570825798016,-14.26659581558406,0.052252137917698206,213.86686187906741,0.07583484267852367,8.8752985,2.8154254,,,NOT_AVAILABLE,3837.205,0.4623,,
4062257416666691968,270.17586334298744,0.8934447694463397,-29.717192565439827,1.0111973046923217,213.88586872182879,1.1876510594844314,19.291273,,,,NOT_AVAILABLE,,,,
4063523057647400704,269.52445320307424,1.1332649172763096,-27.705099251927333,1.835618933107756,214.12832682675491,2.076932685204137,19.793652,,,,NOT_AVAILABLE,,,,
4053140231908359808,275.8702445339191,1.5070777161375608,-25.42560691702239,1.3000318070977228,214.2093616687974,1.5388579269324156,19.797358,,,,NOT_AVAILABLE,,,,
4252402422060610816,282.43999269873746,1.726809002993801,-6.931657160001564,1.8714801315539669,214.28163013129947,2.0401152119357366,20.573753,,,,NOT_AVAILABLE,,,,
4068084931423906176,266.75807719030695,1.7017076998675826,-24.416229123401337,1.233796158461125,214.32787385984724,1.9406092424288424,20.587019,,,,NOT_AVAILABLE,,,,
4042946556559966080,270.8801277742263,1.5884836878588173,-32.369916125660254,1.1414594156991622,214.47141199572906,1.6877329173005102,19.906826,,,,NOT_AVAILABLE,,,,
4050958732149164928,272.7301971825274,0.8506223920733909,-27.770317271982787,1.1327653818060963,214.51140840430068,1.5194545031140747,19.323729,,,,NOT_AVAILABLE,,,,
2079073928612821760,298.4818579432316,0.06508895490129017,44.412972907657775,0.08343392415247584,214.5284635401693,0.08241786673638248,11.919046,3.8419018,,,NOT_AVAILABLE,3293.5,0.4527,,
4255181914438833920,281.75053171211374,1.7966900403659005,-4.534388965899445,2.0890930317125846,214.65179590063173,2.6664889337751436,20.318737,2.140236,,,NOT_AVAILABLE,,,,
